NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases,Race Information
NCT01833520,Unknown,COMPLETED,2013-10-16,Sarcoma,Ra-223 Dichloride,Houston - United States,2020-04-08,2013-04-17,2021-02-02,INTERVENTIONAL,"PHASE1, PHASE2","{'American Indian or Alaska Native': 0, 'Asian': 0, 'Native Hawaiian or Other Pacific Islander': 0, 'Black or African American': 0, 'White': 36, 'More than one race': 0, 'Unknown or Not Reported': 0}"
NCT04833582,Unknown,ACTIVE_NOT_RECRUITING,2021-08-01,Osteosarcoma,"ZN-c3, Gemcitabine","Los Angeles - United States, Oakland - United States, Santa Monica - United States, Gainesville - United States, New York - United States, Cincinnati - United States, Portland - United States, Memphis - United States, Nashville - United States, Houston - United States, Richmond - United States, Seattle - United States, Bordeaux - France, Lyon - France, Marseille - France, Paris - France, Toulouse - France",2023-08-30,2021-04-06,2023-11-14,INTERVENTIONAL,"PHASE1, PHASE2",{}
NCT06064682,PREMOST,RECRUITING,2024-02-12,Osteosarcoma,"standard of care biopsy, standard of care biopsy",Los Angeles - United States,2026-01-01,2023-10-03,2024-03-08,OBSERVATIONAL,Not Available,{}
NCT04055220,REGOSTA,RECRUITING,2020-03-03,"Bone Sarcoma, Osteosarcoma, Ewing Sarcoma, Chondrosarcoma, Undifferentiated Pleomorphic Sarcoma, Leiomyosarcoma, Angiosarcoma","Treatment by Regorafenib, Treatment by Placebo","Besançon - France, Bordeaux - France, Lille - France, Lyon - France, Marseille - France, Montpellier - France, Paris - France, Paris - France, Poitiers - France, Saint-Herblain - France, Saint-Étienne - France, Strasbourg - France, Strasbourg - France, Toulouse - France, Vandœuvre-lès-Nancy - France, Villejuif - France",2026-10-01,2019-08-13,2023-08-08,INTERVENTIONAL,NA,{}
NCT04154189,Unknown,COMPLETED,2020-03-23,Osteosarcoma,"Lenvatinib, Ifosfamide, Etoposide, Lenvatinib","Birmingham - United States, Loma Linda - United States, Orange - United States, San Francisco - United States, Aurora - United States, Washington - United States, Indianapolis - United States, Boston - United States, Jackson - United States, Hackensack - United States, New York - United States, Cincinnati - United States, Nashville - United States, Dallas - United States, Fort Worth - United States, Houston - United States, Camperdown - Australia, Nedlands - Australia, Parkville - Australia, South Brisbane - Australia, Westmead - Australia, Wien - Austria, Gent - Belgium, Toronto - Canada, Brno - Czechia, Prague - Czechia, Tampere - Finland, Bordeaux - France, Lille - France, Lyon - France, Marseille - France, Nantes - France, Nice - France, Paris - France, Paris - France, Strasbourg - France, Toulouse - France, Vandœuvre-lès-Nancy - France, Villejuif - France, Hong Kong - Hong Kong, Hong Kong - Hong Kong, Dublin - Ireland, Petach Tikva - Israel, Bologna - Italy, Firenze - Italy, Genova - Italy, Milan - Italy, Roma - Italy, Goyang-si - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Utrecht - Netherlands, Auckland - New Zealand, Auckland - New Zealand, Singapore - Singapore, Singapore - Singapore, Singapore - Singapore, Barakaldo - Spain, Barcelona - Spain, Barcelona - Spain, Madrid - Spain, Madrid - Spain, Madrid - Spain, Sevilla - Spain, Valencia - Spain, Göteborg - Sweden, Lund - Sweden, Stockholm - Sweden, Lausanne - Switzerland, Zürich - Switzerland, Taipei - Taiwan, Taipei - Taiwan, Birmingham - United Kingdom, Bristol - United Kingdom, Glasgow - United Kingdom, Leeds - United Kingdom, Liverpool - United Kingdom, London - United Kingdom, Manchester - United Kingdom, Manchester - United Kingdom, Newcastle - United Kingdom, Oxford - United Kingdom",2022-06-22,2019-11-06,2024-07-22,INTERVENTIONAL,PHASE2,{}
NCT04890067,ISG Os2Oss,RECRUITING,2021-07-30,Localized Osteosarcoma,"Treatment of Osteosarcoma according the AIEOP/ISG OS 2021 recommendations (includes drugs, surgery, radiotherapy or any other received treatments)","Aviano - Italy, Candiolo - Italy, Trieste - Italy, Bari - Italy, Bologna - Italy, Bologna - Italy, Catania - Italy, Firenze - Italy, Genova - Italy, Milano - Italy, Milano - Italy, Padova - Italy, Palermo - Italy, Pisa - Italy, Roma - Italy, Roma - Italy",2026-06-30,2021-05-18,2023-09-13,OBSERVATIONAL,Not Available,{}
NCT01615640,Unknown,COMPLETED,2010-09,Osteosarcoma,No interventions listed,Stuttgart - Germany,2019-06-07,2012-06-08,2019-08-14,OBSERVATIONAL,Not Available,{}
NCT06562673,IACE-OS,NOT_YET_RECRUITING,2024-08-20,"Osteosarcoma, Bone Cancer",intra-arterial cisplatin plus anti-angiogenesis inhibitor rh-endostatin (Endostar),Shanghai - China,2025-04-20,2024-08-20,2024-08-22,INTERVENTIONAL,"PHASE1, PHASE2",{}
NCT00102531,Unknown,COMPLETED,2005-01-12,Osteosarcoma Metastatic,Cisplatin liposomal,"New York - United States, New York - United States",2008-03,2005-01-31,2017-08-01,INTERVENTIONAL,"PHASE1, PHASE2","{'American Indian or Alaska Native': 0, 'Asian': 2, 'Native Hawaiian or Other Pacific Islander': 0, 'Black or African American': 4, 'White': 26, 'More than one race': 0, 'Unknown or Not Reported': 6}"
NCT04690231,Unknown,COMPLETED,2020-12-01,"Effect of Drug, Toxicity, Drug, Secondary Resistance","Apatinib Mesylate, ifosfamide and etoposide",Beijing - China,2021-03-01,2020-12-30,2022-03-15,INTERVENTIONAL,NA,{}
NCT05746429,Unknown,RECRUITING,2023-04-06,Bone Sarcoma,"Cognitive Behavior Therapy, Transcranial Direct Current Stimulation, Interview, Placebo Administration, Questionnaire Administration",Memphis - United States,2024-10,2023-02-27,2024-01-24,INTERVENTIONAL,NA,{}
NCT03909776,Unknown,COMPLETED,2019-01-01,"Event-free Survival, Overall Survival, Local-recurrence Free Survival, Pathological Response",Cisplatin,Beijing - China,2019-04-01,2019-04-10,2021-01-05,INTERVENTIONAL,NA,{}
NCT04758325,SarcBOP,RECRUITING,2019-07-23,"Sarcoma, Malignant Mesenchymoma, Sarcoma of Bone and Connective Tissue",No interventions listed,Heidelberg - Germany,2030-07,2021-02-17,2023-08-14,OBSERVATIONAL,Not Available,{}
NCT00579930,Unknown,COMPLETED,1993-12,Lung Cancer,No interventions listed,New York - United States,2016-02,2007-12-24,2016-02-25,OBSERVATIONAL,Not Available,{}
NCT05588648,Unknown,RECRUITING,2023-03-31,Osteosarcoma,Vactosertib,"Roseville - United States, Saint Louis - United States, Cleveland - United States, Philadelphia - United States, Gyeonggi-do - Korea, Republic of, Seoul - Korea, Republic of",2025-07,2022-10-20,2024-05-02,INTERVENTIONAL,"PHASE1, PHASE2",{}
NCT03006848,Unknown,COMPLETED,2017-02-16,Osteosarcoma,"Avelumab, Questionnaires","Los Angeles - United States, New York - United States, Memphis - United States, Houston - United States",2020-03-18,2016-12-30,2023-07-20,INTERVENTIONAL,PHASE2,{}
NCT00572130,Unknown,COMPLETED,2007-12,Osteosarcoma,"Rexin-G Dose 1, Rexin-G Dose 2",Los Angeles - United States,2010-07,2007-12-12,2011-06-10,INTERVENTIONAL,PHASE2,{}
NCT05310539,Unknown,RECRUITING,2022-01-08,"Metastasis Lung, Bone Neoplasm",assessment of the early recovery after wedge resection surgery,Bologna - Italy,2024-01-08,2022-04-05,2024-02-15,OBSERVATIONAL,Not Available,{}
NCT00949325,Unknown,COMPLETED,2009-09,Sarcoma,temsirolimus plus liposomal doxorubicin,Baltimore - United States,2012-09,2009-07-30,2019-03-11,INTERVENTIONAL,"PHASE1, PHASE2",{}
NCT06235125,Cytalux,RECRUITING,2024-04-08,"Osteosarcoma, Pulmonary Metastasis, Fluorescence, Metastatic Sarcoma, Pediatrics",Cytalux,Chicago - United States,2026-01-20,2024-01-31,2024-08-22,INTERVENTIONAL,PHASE1,{}
NCT00538239,SUCCEED,COMPLETED,2007-10,"Metastatic Soft-Tissue Sarcomas, Metastatic Bone Sarcomas","ridaforolimus, Placebo",No locations listed,2010-10,2007-10-02,2015-02-13,INTERVENTIONAL,PHASE3,{}
NCT01216826,Unknown,UNKNOWN,2011-03,Refractory or Relapsed Osteosarcoma,Everolimus,Sao Paulo - Brazil,2014-06,2010-10-07,2013-08-07,INTERVENTIONAL,PHASE2,{}
NCT05235165,Unknown,RECRUITING,2022-04-01,"Metastatic Malignant Neoplasm in the Lung, Metastatic Osteosarcoma, Osteosarcoma","Biospecimen Collection, Computed Tomography, Questionnaire Administration, Thoracoscopy, Thoracotomy","Birmingham - United States, Anchorage - United States, Kingman - United States, Mesa - United States, Phoenix - United States, Tucson - United States, Little Rock - United States, Anaheim - United States, Arroyo Grande - United States, Bellflower - United States, Downey - United States, Fontana - United States, Loma Linda - United States, Long Beach - United States, Los Angeles - United States, Los Angeles - United States, Los Angeles - United States, Madera - United States, Oakland - United States, Orange - United States, Palo Alto - United States, Sacramento - United States, San Diego - United States, San Diego - United States, San Francisco - United States, Aurora - United States, Denver - United States, Hartford - United States, New Haven - United States, New Haven - United States, Wilmington - United States, Washington - United States, Fort Myers - United States, Gainesville - United States, Jacksonville - United States, Miami - United States, Orlando - United States, Saint Petersburg - United States, Tampa - United States, Tampa - United States, Atlanta - United States, Honolulu - United States, Boise - United States, Chicago - United States, Chicago - United States, Chicago - United States, Maywood - United States, Peoria - United States, Winfield - United States, Indianapolis - United States, Des Moines - United States, Iowa City - United States, Lexington - United States, Louisville - United States, New Orleans - United States, New Orleans - United States, Bangor - United States, Scarborough - United States, Baltimore - United States, Baltimore - United States, Baltimore - United States, Bethesda - United States, Boston - United States, Boston - United States, Ann Arbor - United States, Ann Arbor - United States, Battle Creek - United States, Detroit - United States, East Lansing - United States, Grand Rapids - United States, Grand Rapids - United States, Grand Rapids - United States, Kalamazoo - United States, Kalamazoo - United States, Kalamazoo - United States, Kalamazoo - United States, Muskegon - United States, Niles - United States, Norton Shores - United States, Reed City - United States, Royal Oak - United States, Saint Joseph - United States, Saint Joseph - United States, Traverse City - United States, Wyoming - United States, Minneapolis - United States, Minneapolis - United States, Rochester - United States, Jackson - United States, Columbia - United States, Kansas City - United States, Saint Louis - United States, Saint Louis - United States, Saint Louis - United States, Omaha - United States, Omaha - United States, Carson City - United States, Henderson - United States, Henderson - United States, Henderson - United States, Henderson - United States, Henderson - United States, Henderson - United States, Henderson - United States, Henderson - United States, Henderson - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Pahrump - United States, Reno - United States, Reno - United States, Reno - United States, Reno - United States, Lebanon - United States, Hackensack - United States, Morristown - United States, New Brunswick - United States, New Brunswick - United States, Paterson - United States, Albany - United States, Bronx - United States, Bronx - United States, Bronx - United States, Bronx - United States, Brooklyn - United States, New Hyde Park - United States, New York - United States, New York - United States, New York - United States, Stony Brook - United States, Syracuse - United States, Valhalla - United States, Valhalla - United States, Asheville - United States, Durham - United States, Greenville - United States, Winston-Salem - United States, Fargo - United States, Akron - United States, Cincinnati - United States, Cleveland - United States, Cleveland - United States, Columbus - United States, Dayton - United States, Toledo - United States, Oklahoma City - United States, Portland - United States, Portland - United States, Allentown - United States, Danville - United States, Hershey - United States, Philadelphia - United States, Pittsburgh - United States, Providence - United States, Columbia - United States, Greenville - United States, Sioux Falls - United States, Knoxville - United States, Memphis - United States, Nashville - United States, Nashville - United States, Amarillo - United States, Austin - United States, Corpus Christi - United States, Dallas - United States, Dallas - United States, El Paso - United States, Fort Worth - United States, Houston - United States, Houston - United States, San Antonio - United States, San Antonio - United States, San Antonio - United States, Salt Lake City - United States, Burlington - United States, Charlottesville - United States, Falls Church - United States, Norfolk - United States, Richmond - United States, Roanoke - United States, Bellevue - United States, Renton - United States, Seattle - United States, Spokane - United States, Tacoma - United States, Tacoma - United States, Yakima - United States, Morgantown - United States, Madison - United States, Marshfield - United States, Milwaukee - United States, Westmead - Australia, Parkville - Australia, Perth - Australia, Calgary - Canada, Edmonton - Canada, Halifax - Canada, Montreal - Canada, Montreal - Canada, Sherbrooke - Canada, Grafton - New Zealand, Christchurch - New Zealand, Caguas - Puerto Rico, Riyadh - Saudi Arabia",2031-03-31,2022-02-11,2024-08-15,INTERVENTIONAL,PHASE3,{}
NCT03442465,Unknown,RECRUITING,2018-02-14,"Bone Sarcoma, Osteosarcoma, Chondrosarcoma, Ewing's Sarcoma, Osseous Sarcoma, Bone Neoplasm","Toronto Extremity Salvage Score, Musculoskeletal Tumor Society Score, Timed Get Up and Go Test, Orthogonal Radiographs, Weight Bearing for lower extremities only, Range of Motion","Middletown - United States, Harrison - United States, New York - United States",2025-02-14,2018-02-22,2024-03-04,OBSERVATIONAL,Not Available,{}
NCT00634322,Unknown,TERMINATED,2008-10,Osteosarcoma,"glucarpidase, leucovorin",No locations listed,2009-03,2008-03-13,2014-09-15,INTERVENTIONAL,PHASE2,{}
NCT03811886,Unknown,RECRUITING,2024-12-01,Pulmonary Metastatic Osteosarcoma (pOS),Natalizumab,Cleveland - United States,2025-12-01,2019-01-22,2024-07-25,INTERVENTIONAL,"PHASE1, PHASE2",{}
NCT03919539,EBAOFC,UNKNOWN,2019-12-01,"Drug Resistance to Famitinib and Camrelizumab, Biomarkers for Efficacy and Toxicity",5hmc testing,Beijing - China,2021-06-01,2019-04-18,2020-02-06,OBSERVATIONAL,Not Available,{}
NCT02432274,Unknown,COMPLETED,2014-12-29,"Tumors, Solid Malignant Tumors, Osteosarcoma, Differentiated Thyroid Cancer (DTC)","Lenvatinib, Lenvatinib, Lenvatinib, Lenvatinib, Lenvatinib, Ifosfamide, Etoposide, Ifosfamide, Etoposide","Houston - United States, Strasbourg - France, Lille - France, Lyon - France, Nantes - France, Paris - France, Paris - France, Toulouse - France, Muenster - Germany, Stuttgart - Germany, Bologna - Italy, Milan - Italy, Roma - Italy, Barcelona - Spain, Madrid - Spain, Valencia - Spain, Birmingham - United Kingdom, London - United Kingdom, Newcastle - United Kingdom",2019-07-18,2015-05-04,2023-07-11,INTERVENTIONAL,"PHASE1, PHASE2","{'American Indian or Alaska Native': 0, 'Asian': 0, 'Native Hawaiian or Other Pacific Islander': 0, 'Black or African American': 0, 'White': 128, 'More than one race': 12, 'Unknown or Not Reported': 54}"
NCT00002539,Unknown,COMPLETED,1993-08,Sarcoma,"filgrastim, cisplatin, doxorubicin hydrochloride, conventional surgery","Brussels (Bruxelles) - Belgium, Brussels (Bruxelles) - Belgium, Edegem - Belgium, Leuven - Belgium, Aarhus - Denmark, Copenhagen - Denmark, Rennes - France, Amsterdam - Netherlands, Amsterdam - Netherlands, Leiden - Netherlands, Nijmegen - Netherlands, Utrecht - Netherlands, Lisbon - Portugal, Riyadh - Saudi Arabia, Ljubljana - Slovenia, Leeds - United Kingdom",2002-10,2003-04-10,2012-09-24,INTERVENTIONAL,PHASE3,{}
NCT02502786,Unknown,ACTIVE_NOT_RECRUITING,2015-07,Recurrent Osteosarcoma,"humanized anti-GD2 antibody, GM-CSF","Los Angeles - United States, New York - United States, Houston - United States",2025-07,2015-07-20,2024-08-06,INTERVENTIONAL,PHASE2,{}
NCT00145639,Unknown,COMPLETED,1999-05,Osteosarcoma,"Ifosfamide, Carboplatin, Doxorubicin, Limb Sparing","Little Rock - United States, St.Louis - United States, Memphis - United States, Santiago - Chile",2006-05,2005-09-05,2011-06-10,INTERVENTIONAL,PHASE2,{}
NCT03362086,Unknown,UNKNOWN,2018-02-01,Osteosarcoma,No interventions listed,No locations listed,2021-02-01,2017-12-05,2017-12-05,OBSERVATIONAL,Not Available,{}
NCT04690725,TQBSP,UNKNOWN,2020-10-01,"Safety Issues, Efficacy, Self",TQB3525,Beijing - China,2022-01-01,2020-12-31,2020-12-31,INTERVENTIONAL,"PHASE1, PHASE2",{}
NCT04319874,Unknown,NOT_YET_RECRUITING,2020-09-15,Osteosarcoma,"Ganoderma lucidum, Chemotherapy, Placebos",No locations listed,2022-09-15,2020-03-24,2020-03-30,INTERVENTIONAL,PHASE2,{}
NCT00066365,Unknown,COMPLETED,2004-07,"Metastatic Cancer, Sarcoma","sargramostim, conventional surgery","Birmingham - United States, Phoenix - United States, Tucson - United States, Little Rock - United States, Downey - United States, Loma Linda - United States, Long Beach - United States, Oakland - United States, Sacramento - United States, San Francisco - United States, Stanford - United States, Wilmington - United States, Washington - United States, Washington - United States, Fort Myers - United States, Gainesville - United States, Jacksonville - United States, Miami - United States, Miami - United States, Miami - United States, Orlando - United States, Pensacola - United States, St. Petersburg - United States, Tampa - United States, West Palm Beach - United States, Atlanta - United States, Savannah - United States, Boise - United States, Chicago - United States, Springfield - United States, Indianapolis - United States, Kansas City - United States, Lexington - United States, Louisville - United States, Baltimore - United States, Baltimore - United States, Boston - United States, Detroit - United States, Flint - United States, Grand Rapids - United States, Grosse Pointe Woods - United States, Lansing - United States, Rochester - United States, Jackson - United States, Kansas City - United States, Hackensack - United States, New Brunswick - United States, Newark - United States, Albuquerque - United States, Buffalo - United States, New York - United States, Rochester - United States, Syracuse - United States, Charlotte - United States, Durham - United States, Akron - United States, Cleveland - United States, Columbus - United States, Dayton - United States, Oklahoma City - United States, Portland - United States, Portland - United States, Bethlehem - United States, Hershey - United States, Philadelphia - United States, Philadelphia - United States, Pittsburgh - United States, Columbia - United States, Greenville - United States, Knoxville - United States, Dallas - United States, Fort Worth - United States, Houston - United States, Lubbock - United States, San Antonio - United States, Temple - United States, Burlington - United States, Seattle - United States, Spokane - United States, Green Bay - United States, Madison - United States, Marshfield - United States, Milwaukee - United States, Westmead - Australia, Perth - Australia, Winnipeg - Canada, Halifax - Canada, Hamilton - Canada, Montreal - Canada, Montreal - Canada, Saskatoon - Canada, Quebec - Canada, Santurce - Puerto Rico",2010-07,2003-08-07,2015-03-30,INTERVENTIONAL,PHASE2,"{'American Indian or Alaska Native': 0, 'Asian': 2, 'Native Hawaiian or Other Pacific Islander': 0, 'Black or African American': 14, 'White': 76, 'More than one race': 0, 'Unknown or Not Reported': 6}"
NCT04595994,SeliSarc,RECRUITING,2020-09-02,"Sarcoma,Soft Tissue",Selinexor,"Barcelona - Spain, Barcelona - Spain, Madrid - Spain, Madrid - Spain, Madrid - Spain, Zaragoza - Spain",2025-11-30,2020-10-22,2024-01-23,INTERVENTIONAL,PHASE1,{}
NCT03768076,Unknown,COMPLETED,2018-11-30,Parosteal Osteosarcoma,No interventions listed,Bologna - Italy,2019-02-28,2018-12-07,2021-08-05,OBSERVATIONAL,Not Available,{}
NCT06162962,Unknown,COMPLETED,2000-01-01,"Osteosarcoma, Pediatric, Lower Limb Injury, Outcome",Retrospective analysis,Guangzhou - China,2023-11-23,2023-12-08,2023-12-08,OBSERVATIONAL,Not Available,{}
NCT03478462,CLOVER-2,ACTIVE_NOT_RECRUITING,2019-04-30,"Pediatric Solid Tumor, Pediatric Lymphoma, Pediatric Brain Tumor, DIPG, Neuroblastoma, Ewing Sarcoma, Rhabdomyosarcoma, Osteosarcoma",CLR 131,"Palo Alto - United States, New York - United States, Chapel Hill - United States, Cincinnati - United States, Houston - United States, Madison - United States, Westmead - Australia, Toronto - Canada",2022-09-25,2018-03-27,2023-05-17,INTERVENTIONAL,PHASE1,{}
NCT01882231,Unknown,TERMINATED,2013-03,"Osteosarcoma, Paget's Disease, Ewing Sarcoma","DCE-MRI, DW-MRI, MT-MRI, and CEST-MRI",Nashville - United States,2016-04-25,2013-06-20,2017-05-08,INTERVENTIONAL,NA,{}
NCT00631631,Unknown,COMPLETED,2008-01,Osteosarcoma,Mifamurtide (L-MTP-PE),"New York - United States, Houston - United States",2012-10,2008-03-10,2014-05-14,OBSERVATIONAL,Not Available,{}
NCT04183062,Unknown,ACTIVE_NOT_RECRUITING,2019-10-04,"Osteosarcoma Metastatic, Ewing's Sarcoma Metastatic",Chemotherapy (gemcitabine & docetaxel) plus BIO-11006,Miami - United States,2023-11-04,2019-12-03,2022-11-09,INTERVENTIONAL,PHASE2,{}
NCT04417062,Unknown,RECRUITING,2020-11-24,"Osteosarcoma, Osteosarcoma Recurrent","Olaparib, Ceralasertib","San Francisco - United States, Boston - United States, New York - United States, Houston - United States",2024-12-01,2020-06-04,2024-07-11,INTERVENTIONAL,PHASE2,{}
NCT02429973,GEIS-29,COMPLETED,2012-07,Osteosarcoma,Gemcitabine plus rapamycin,No locations listed,2014-12,2015-04-29,2015-04-29,INTERVENTIONAL,PHASE2,{}
